Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
MatjiesRd1_comptonii_DC/0120_0123_p5,0.124336365,0.055603118,600810,0.124336365,0.055603118,0.101814593,0.049687910,0.062543826,0.028203890
MatjiesRd1_comptonii_DC/0126_0129_a1,0.077420563,0.041812734,55030,0.077420563,0.041812734,0.074733763,0.037170982,0.057411874,0.019080302
MatjiesRd1_comptonii_DC/0126_0129_a2,0.090840140,0.027883135,46006,0.090840140,0.027883135,0.088878771,0.025800694,0.071005697,0.017532321
MatjiesRd1_comptonii_DC/0126_0129_b1,0.099143090,0.016408228,23319,0.099143090,0.016408228,0.098365194,0.016114991,0.086730722,0.013302600
MatjiesRd1_comptonii_DC/0126_0129_b10,0.046499670,0.004965536,153,0.046499670,0.004965536,0.039949172,0.005106382,0.023483912,0.003972895
MatjiesRd1_comptonii_DC/0126_0129_b11,0.151962435,0.019731707,2952,0.151962435,0.019731707,0.125005512,0.017154590,0.044040262,0.007712431
MatjiesRd1_comptonii_DC/0126_0129_b12,0.163795008,0.048977472,270054,0.163795008,0.048977472,0.148869405,0.048966555,0.099805274,0.040315950
MatjiesRd1_comptonii_DC/0126_0129_b13,0.046174859,0.011904531,36099,0.046174859,0.011904531,0.040090922,0.010521341,0.032970773,0.008291152
MatjiesRd1_comptonii_DC/0126_0129_b14,0.135556882,0.012344534,22250,0.135556882,0.012344534,0.127540881,0.011595609,0.088764093,0.013968381
MatjiesRd1_comptonii_DC/0126_0129_b15,0.039338368,0.017306165,28729,0.039338368,0.017306165,0.035561136,0.015656573,0.032155976,0.011261537
MatjiesRd1_comptonii_DC/0126_0129_b16,0.044221141,0.028693442,11859,0.044221141,0.028693442,0.038775714,0.025236554,0.022410388,0.014248046
MatjiesRd1_comptonii_DC/0126_0129_b17,0.145329352,0.030796389,42665,0.145329352,0.030796389,0.139588989,0.031889118,0.106957061,0.033645493
MatjiesRd1_comptonii_DC/0126_0129_b2,0.040145139,0.016936996,11903,0.040145139,0.016936996,0.033627653,0.012692301,0.025566628,0.008610611
MatjiesRd1_comptonii_DC/0126_0129_b3,0.043533632,0.008914616,1346,0.043533632,0.008914616,0.043081687,0.008800248,0.032389942,0.006840164
MatjiesRd1_comptonii_DC/0126_0129_b4,0.212826183,0.053494308,308070,0.212826183,0.053494308,0.204976136,0.051706832,0.159963214,0.039364306
MatjiesRd1_comptonii_DC/0126_0129_b5,0.193596572,0.061175708,256442,0.193596572,0.061175708,0.188690092,0.054752375,0.157926049,0.040493878
MatjiesRd1_comptonii_DC/0126_0129_b6,0.292697762,0.124326793,23354,0.292697762,0.124326793,0.274823096,0.121440773,0.211056642,0.106759630
MatjiesRd1_comptonii_DC/0126_0129_b7,0.301962407,0.081765747,11710,0.301962407,0.081765747,0.285781457,0.081735363,0.222123585,0.077667636
MatjiesRd1_comptonii_DC/0126_0129_b8,0.135484003,0.032574000,18217,0.135484003,0.032574000,0.120802810,0.030280149,0.068229270,0.023059165
MatjiesRd1_comptonii_DC/0126_0129_b9,0.176118197,0.066117895,14738,0.176118197,0.066117895,0.152878315,0.057801518,0.075375661,0.029456422
MatjiesRd1_comptonii_DC/0126_0129_c1,0.042023864,0.019826653,1651,0.042023864,0.019826653,0.032282145,0.017808225,0.011753610,0.009825600
MatjiesRd1_comptonii_DC/0126_0129_c2,0.062536849,0.029661430,13836,0.062536849,0.029661430,0.050637859,0.028091258,0.022593401,0.018243977
MatjiesRd1_comptonii_DC/0126_0129_c3,0.063427665,0.024280766,16172,0.063427665,0.024280766,0.049993322,0.022037973,0.022041289,0.012887116
MatjiesRd1_comptonii_DC/0126_0129_c4,0.054393129,0.020187498,6381,0.054393129,0.020187498,0.042213991,0.017999022,0.015218440,0.010664476
MatjiesRd1_comptonii_DC/0126_0129_p1,0.292697762,0.124326793,23354,0.292697762,0.124326793,0.274823096,0.121440773,0.211056642,0.106759630
MatjiesRd1_comptonii_DC/0126_0129_p2,0.163795008,0.048977472,270054,0.163795008,0.048977472,0.148869405,0.048966555,0.099805274,0.040315950
MatjiesRd1_comptonii_DC/0132_0135_a1,0.070787812,0.038648576,42350,0.070787812,0.038648576,0.069601788,0.036531616,0.048028835,0.025302649
MatjiesRd1_comptonii_DC/0132_0135_a2,0.109767359,0.029631098,34208,0.109767359,0.029631098,0.101742935,0.025566110,0.056048671,0.013464491
MatjiesRd1_comptonii_DC/0132_0135_a3,0.097531576,0.033745497,33400,0.097531576,0.033745497,0.089425738,0.029996229,0.058928870,0.019469672
MatjiesRd1_comptonii_DC/0132_0135_a4,0.071813321,0.030921281,37656,0.071813321,0.030921281,0.067258314,0.028715347,0.048072540,0.018488030
MatjiesRd1_comptonii_DC/0132_0135_a5,0.103368900,0.030397470,30410,0.103368900,0.030397470,0.103287342,0.030362139,0.075606179,0.023656650
MatjiesRd1_comptonii_DC/0132_0135_a6,0.106927324,0.029010588,33899,0.106927324,0.029010588,0.105216336,0.027907119,0.079860226,0.020829167
MatjiesRd1_comptonii_DC/0132_0135_a7,0.087508217,0.031153234,25247,0.087508217,0.031153234,0.080314982,0.028637187,0.058595541,0.020727465
MatjiesRd1_comptonii_DC/0132_0135_b1,0.200617323,0.068042595,34073,0.200617323,0.068042595,0.192611476,0.066227126,0.148795579,0.051470751
MatjiesRd1_comptonii_DC/0132_0135_b10,0.207857095,0.059617656,68458,0.207857095,0.059617656,0.186428488,0.057679805,0.100625204,0.038473161
MatjiesRd1_comptonii_DC/0132_0135_b11,0.445502209,0.157213016,20103,0.445502209,0.157213016,0.438033149,0.155907263,0.379433376,0.142913597
MatjiesRd1_comptonii_DC/0132_0135_b12,0.051169253,0.018990433,319,0.051169253,0.018990433,0.047097471,0.017749183,0.030259488,0.010391287
MatjiesRd1_comptonii_DC/0132_0135_b13,0.051148676,0.018526765,1292,0.051148676,0.018526765,0.048370551,0.017291596,0.032933562,0.010006385
