Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD,vsMean,vsSD,dblMean,dblSD
aggeneys_olivacea_CDE/CDE_b08_a2,0.125266939,0.058886684,34135,0.125266939,0.058886684,0.110985946,0.041357412,0.083581768,0.032212109,0.074140059,0.022883003,0.109980977,0.044795580
aggeneys_olivacea_CDE/CDE_b08_a3,0.179338808,0.095727148,47289,0.179338808,0.095727148,0.139632858,0.069659049,0.100998705,0.054202175,0.082644716,0.037939735,0.144591758,0.074588623
aggeneys_olivacea_CDE/CDE_b08_b1,0.210975669,0.091212860,374566,0.210975669,0.091212860,0.069840371,0.068101508,0.041940887,0.052615946,0.046492511,0.040001953,0.106085457,0.071384320
aggeneys_olivacea_CDE/CDE_b08_b2,0.316645474,0.103627813,51622,0.316645474,0.103627813,0.223280861,0.096929996,0.169469806,0.087618237,0.141416133,0.071444870,0.242560752,0.096461377
aggeneys_olivacea_CDE/CDE_b08_b3,0.301902504,0.095257920,93113,0.301902504,0.095257920,0.186470636,0.072097891,0.138893884,0.060082347,0.122803439,0.049219921,0.213136436,0.075839702
aggeneys_olivacea_CDE/CDE_b08_c1,0.140519154,0.053378935,4073,0.140519154,0.053378935,0.052337563,0.039854814,0.019869761,0.029783490,0.021370689,0.022449031,0.072156424,0.041353316
aggeneys_olivacea_CDE/CDE_b09_a1,0.213242253,0.073521890,46582,0.213242253,0.073521890,0.162639045,0.062351851,0.119713894,0.055029549,0.096128479,0.041356170,0.170577456,0.063149650
aggeneys_olivacea_CDE/CDE_b09_a2,0.238427810,0.074231273,54425,0.238427810,0.074231273,0.177906976,0.071812425,0.132506483,0.066794449,0.104652033,0.050121698,0.188548652,0.070820795
aggeneys_olivacea_CDE/CDE_b09_a3,0.270416665,0.084722996,52709,0.270416665,0.084722996,0.200870107,0.071933874,0.149161191,0.062139562,0.115948012,0.043668650,0.213208347,0.073410922
aggeneys_olivacea_CDE/CDE_b09_b1,0.430193931,0.107993272,34290,0.430193931,0.107993272,0.362998475,0.097520250,0.319515154,0.089493383,0.275827891,0.074101725,0.376904211,0.098319775
aggeneys_olivacea_CDE/CDE_b09_b2,0.390458278,0.122315359,215766,0.390458278,0.122315359,0.309545358,0.115355226,0.260922178,0.105583785,0.224875890,0.086035473,0.326648430,0.114833076
aggeneys_olivacea_CDE/CDE_b09_b3,0.259836022,0.117798551,68853,0.259836022,0.117798551,0.188344114,0.104369271,0.150364268,0.090681466,0.128420800,0.070781598,0.203393751,0.106044214
aggeneys_olivacea_CDE/CDE_b09_c1,0.236917157,0.054107354,3893,0.236917157,0.054107354,0.115156297,0.044633513,0.072335528,0.033460166,0.063559500,0.022835882,0.143891897,0.042795486
aggeneys_olivacea_CDE/CDE_b09_c2,0.151943443,0.061500249,15536,0.151943443,0.061500249,0.096430164,0.045698540,0.061935276,0.036248537,0.052187844,0.027123155,0.106875062,0.048055667
aggeneys_olivacea_CDE/CDE_b10_a1,0.125371699,0.087360561,35450,0.125371699,0.087360561,0.090748013,0.058696071,0.062202699,0.045362334,0.050736636,0.030310890,0.095440916,0.064660501
aggeneys_olivacea_CDE/CDE_b10_a2,0.079723678,0.036557936,20475,0.079723678,0.036557936,0.061471029,0.029105422,0.036796088,0.026013073,0.029960737,0.019087215,0.061834103,0.029577767
aggeneys_olivacea_CDE/CDE_b10_a3,0.071795022,0.056578083,26325,0.071795022,0.056578083,0.054408109,0.042088893,0.035614861,0.033612010,0.031622175,0.023081727,0.055351435,0.044469248
aggeneys_olivacea_CDE/CDE_b10_b1,0.395668993,0.122727754,295275,0.395668993,0.122727754,0.307860290,0.108913236,0.262261682,0.103184272,0.228394673,0.087185687,0.327228111,0.110439007
aggeneys_olivacea_CDE/CDE_b10_b2,0.251382414,0.103443591,43439,0.251382414,0.103443591,0.151109925,0.077998508,0.101733584,0.064842201,0.088716868,0.051842403,0.172762577,0.082590963
aggeneys_olivacea_CDE/CDE_b10_b3,0.444465748,0.049282496,27310,0.444465748,0.049282496,0.354804104,0.050385173,0.314524681,0.050684527,0.275635638,0.045819185,0.375501724,0.049397781
aggeneys_olivacea_CDE/CDE_b10_b4,0.300174112,0.085151385,154848,0.300174112,0.085151385,0.206640879,0.071687087,0.155550051,0.066417403,0.134781318,0.058012647,0.226616523,0.073361444
aggeneys_olivacea_CDE/CDE_b10_b5,0.381502502,0.104119713,39509,0.381502502,0.104119713,0.283949379,0.078084264,0.236697472,0.063255964,0.202770055,0.054926835,0.305785623,0.082271971
aggeneys_olivacea_CDE/CDE_b10_c1,0.146389142,0.047488520,1011,0.146389142,0.047488520,0.050114513,0.033723090,0.014804111,0.025561195,0.015948772,0.018858230,0.071957478,0.035547516
aggeneys_olivacea_CDE/CDE_b10_c2,0.218037944,0.068472870,8972,0.218037944,0.068472870,0.089211929,0.061640725,0.047248107,0.053940490,0.042917540,0.042930188,0.119952833,0.059708486
aggeneys_olivacea_CDE/CDE_b10_c3,0.183040136,0.070113340,3281,0.183040136,0.070113340,0.071532301,0.057045715,0.036391943,0.042270711,0.033161606,0.032072990,0.098180805,0.057577556
aggeneys_olivacea_CDE/CDE_b11_a1,0.129524177,0.054505813,44582,0.129524177,0.054505813,0.093873909,0.046745539,0.059512898,0.041919781,0.045953045,0.031848025,0.098241559,0.047234369
aggeneys_olivacea_CDE/CDE_b11_a2,0.066239021,0.038282286,33045,0.066239021,0.038282286,0.059909151,0.030035763,0.042679328,0.026241834,0.039661699,0.021104543,0.057851119,0.031394895
aggeneys_olivacea_CDE/CDE_b11_a3,0.098820386,0.055842928,34132,0.098820386,0.055842928,0.078101349,0.042840168,0.053310573,0.036494959,0.044056076,0.027432142,0.079364616,0.045070205
aggeneys_olivacea_CDE/CDE_b11_b1,0.336917119,0.130334917,76790,0.336917119,0.130334917,0.259074253,0.113870916,0.234951684,0.105505161,0.212221291,0.089928690,0.277915446,0.116569874
