,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
34538,SidiBarani_verruculosa_EF/1332_1335_a1a,0.294437038,0.089776246,27446,0.294437038,0.089776246,0.174170389,0.045198324
34539,SidiBarani_verruculosa_EF/1332_1335_a1b,0.304023844,0.104421067,24618,0.304023844,0.104421067,0.187230332,0.058134564
34540,SidiBarani_verruculosa_EF/1332_1335_a2a,0.291055464,0.081030704,30844,0.291055464,0.081030704,0.18921511,0.045864647
34541,SidiBarani_verruculosa_EF/1332_1335_a2b,0.288201518,0.11556088,27029,0.288201518,0.11556088,0.182789792,0.061670125
34542,SidiBarani_verruculosa_EF/1332_1335_b1,0.265762433,0.049076796,12833,0.265762433,0.049076796,0.16775051,0.033265602
34543,SidiBarani_verruculosa_EF/1332_1335_b10,0.230200151,0.107743326,51564,0.230200151,0.107743326,0.127134012,0.053957536
34544,SidiBarani_verruculosa_EF/1332_1335_b11,0.171147785,0.04656666,3640,0.171147785,0.04656666,0.084288557,0.020487409
34545,SidiBarani_verruculosa_EF/1332_1335_b12,0.277026797,0.102672971,106135,0.277026797,0.102672971,0.174318866,0.057735054
34546,SidiBarani_verruculosa_EF/1332_1335_b13,0.139270695,0.033534817,1304,0.139270695,0.033534817,0.055836153,0.013905175
34547,SidiBarani_verruculosa_EF/1332_1335_b14,0.314443704,0.081117728,47247,0.314443704,0.081117728,0.181250289,0.04867724
34548,SidiBarani_verruculosa_EF/1332_1335_b15,0.341442279,0.053141267,119025,0.341442279,0.053141267,0.222233912,0.037737619
34549,SidiBarani_verruculosa_EF/1332_1335_b16,0.346039317,0.042720028,2402,0.346039317,0.042720028,0.203151026,0.032877062
34550,SidiBarani_verruculosa_EF/1332_1335_b17,0.362767834,0.116511448,12899,0.362767834,0.116511448,0.209504478,0.066623542
34551,SidiBarani_verruculosa_EF/1332_1335_b18,0.44983094,0.105999281,39850,0.44983094,0.105999281,0.298354396,0.0678917
34552,SidiBarani_verruculosa_EF/1332_1335_b19,0.503344177,0.114167896,60881,0.503344177,0.114167896,0.342209776,0.076447796
34553,SidiBarani_verruculosa_EF/1332_1335_b2,0.175344182,0.078527755,12302,0.175344182,0.078527755,0.081252332,0.036496741
34554,SidiBarani_verruculosa_EF/1332_1335_b20,0.140910632,0.046346501,748,0.140910632,0.046346501,0.06123233,0.022986169
34555,SidiBarani_verruculosa_EF/1332_1335_b21,0.217829722,0.040089235,760,0.217829722,0.040089235,0.098151641,0.020018709
34556,SidiBarani_verruculosa_EF/1332_1335_b3,0.323310069,0.059680708,1088,0.323310069,0.059680708,0.205892324,0.039618644
34557,SidiBarani_verruculosa_EF/1332_1335_b4,0.49374251,0.114648465,52128,0.49374251,0.114648465,0.328698782,0.08490874
34558,SidiBarani_verruculosa_EF/1332_1335_b5,0.409871263,0.110707598,87313,0.409871263,0.110707598,0.258602318,0.082326908
34559,SidiBarani_verruculosa_EF/1332_1335_b6,0.230238493,0.068664812,77975,0.230238493,0.068664812,0.153692252,0.045051995
34560,SidiBarani_verruculosa_EF/1332_1335_b7,0.204012239,0.041117917,1122,0.204012239,0.041117917,0.111371752,0.019965349
34561,SidiBarani_verruculosa_EF/1332_1335_b8,0.241886519,0.042655883,918,0.241886519,0.042655883,0.100295461,0.017888658
34562,SidiBarani_verruculosa_EF/1332_1335_b9,0.491227407,0.080162968,215313,0.491227407,0.080162968,0.311623106,0.058358983
34563,SidiBarani_verruculosa_EF/1332_1335_c1,0.1743313,0.053388126,3492,0.1743313,0.053388126,0.088951449,0.036396349
34564,SidiBarani_verruculosa_EF/1332_1335_c2,0.137906563,0.048182868,5531,0.137906563,0.048182868,0.060755305,0.021081481
34565,SidiBarani_verruculosa_EF/1332_1335_c3,0.116995924,0.057670677,5872,0.116995924,0.057670677,0.059313256,0.027674271
34566,SidiBarani_verruculosa_EF/1332_1335_c4,0.116995924,0.057670677,5872,0.116995924,0.057670677,0.059313256,0.027674271
34567,SidiBarani_verruculosa_EF/1332_1335_c5,0.105184867,0.04040625,2731,0.105184867,0.04040625,0.049579801,0.0183536
34568,SidiBarani_verruculosa_EF/1332_1335_c6,0.121235132,0.043824636,3005,0.121235132,0.043824636,0.056566202,0.02130919
34569,SidiBarani_verruculosa_EF/1332_1335_c7,0.151481519,0.044273119,6880,0.151481519,0.044273119,0.069239077,0.019851926
34570,SidiBarani_verruculosa_EF/1332_1335_c8,0.106023698,0.039533327,6349,0.106023698,0.039533327,0.048985204,0.017418514
34571,SidiBarani_verruculosa_EF/1332_1335_p1,0.491227407,0.080162968,215313,0.491227407,0.080162968,0.311623106,0.058358983
34572,SidiBarani_verruculosa_EF/1332_1335_p2,0.491227407,0.080162968,215313,0.491227407,0.080162968,0.311623106,0.058358983
34573,SidiBarani_verruculosa_EF/1332_1335_p3,0.341442279,0.053141267,119025,0.341442279,0.053141267,0.222233912,0.037737619
